#C_ID        C_NGAL G_ID         G_RA    G_DEC  G_Z
000000000351 000005 000000010093 205.513 -00.713 0.607
000000000351 000005 000000011284 205.588 -00.647 0.593
000000000351 000005 000000012074 205.489 -00.821 0.598
000000000365 000005 000000007301 211.268 -00.450 0.594
000000000365 000005 000000008360 211.286 -00.460 0.583
000000000365 000005 000000008498 211.328 -00.506 0.582
000000000365 000005 000000009336 211.258 -00.452 0.591
000000000365 000005 000000011835 211.307 -00.430 0.584
000000000325 000005 000000004098 186.211 -00.678 0.494
000000000325 000005 000000007596 186.181 -00.635 0.494
000000000325 000005 000000009226 186.152 -00.679 0.491
000000000325 000005 000000009338 186.188 -00.686 0.495
000000000325 000005 000000010743 186.239 -00.673 0.494
000000000025 000005 000000000584 150.706 +00.512 0.573
000000000025 000005 000000001808 150.704 +00.549 0.576
000000000025 000005 000000002763 150.764 +00.555 0.578
000000000025 000005 000000004303 150.639 +00.532 0.580
000000000025 000005 000000010870 150.721 +00.514 0.572
000000000018 000005 000000000493 034.928 +00.365 0.537
000000000018 000005 000000005397 035.006 +00.322 0.543
000000000018 000005 000000010183 034.980 +00.370 0.537
000000000018 000005 000000011926 035.016 +00.399 0.540
000000000018 000005 000000013038 034.956 +00.372 0.545
000000000357 000005 000000006618 207.256 -00.341 0.545
000000000357 000005 000000006990 207.258 -00.254 0.549
000000000357 000005 000000009098 207.233 -00.206 0.556
000000000357 000005 000000012146 207.257 -00.325 0.550
000000000357 000005 000000012484 207.250 -00.285 0.549
000000000349 000005 000000005866 224.776 -00.429 0.444
000000000349 000005 000000007020 224.815 -00.474 0.439
000000000349 000005 000000007751 224.754 -00.515 0.442
000000000349 000005 000000009582 224.782 -00.415 0.439
000000000349 000005 000000012434 224.681 -00.507 0.436
000000000340 000005 000000005350 210.342 +00.245 0.474
000000000340 000005 000000005531 210.261 +00.276 0.475
000000000340 000005 000000006747 210.349 +00.287 0.476
000000000340 000005 000000007503 210.306 +00.285 0.474
000000000340 000005 000000012588 210.296 +00.283 0.475
000000000001 000005 000000000020 156.660 -00.292 0.492
000000000001 000005 000000002226 156.661 -00.342 0.486
000000000001 000005 000000003098 156.612 -00.317 0.487
000000000001 000005 000000003268 156.695 -00.251 0.487
000000000001 000005 000000004667 156.626 -00.315 0.486
000000000093 000004 000000004146 142.163 +00.047 0.455
