#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000348 185.710 +00.146 0.458 000003 00.192 08.131 01.609
000000000330 323.304 -00.183 0.462 000003 00.169 10.544 01.832
000000000337 325.299 -00.623 0.584 000003 00.257 04.525 01.200
000000000331 203.995 +00.574 0.670 000003 00.105 27.105 02.937
000000000332 218.124 +00.030 0.547 000003 00.934 00.344 00.331
000000000333 204.599 +00.262 0.461 000003 00.143 14.690 02.162
000000000334 187.269 +00.631 0.578 000003 00.340 02.593 00.908
000000000335 201.932 -00.774 0.576 000003 00.232 05.557 01.330
000000000336 351.878 +00.002 0.418 000003 00.298 03.386 01.038
000000000338 205.793 +00.047 0.531 000003 00.179 09.337 01.724
000000000347 225.467 -00.802 0.657 000003 00.108 25.922 02.873
000000000339 199.206 +00.271 0.503 000003 00.325 02.843 00.951
000000000341 351.301 -00.411 0.496 000003 00.257 04.525 01.200
000000000342 225.022 +00.492 0.446 000003 00.139 15.536 02.224
000000000343 206.291 -00.739 0.497 000003 00.327 02.809 00.946
000000000345 210.808 -00.337 0.435 000003 00.156 12.258 01.975
000000000346 352.396 +00.267 0.441 000003 00.140 15.390 02.213
000000000265 204.225 -00.362 0.472 000003 00.317 02.993 00.976
000000000264 185.922 -00.693 0.496 000003 00.725 00.571 00.426
000000000263 204.009 +00.398 0.329 000003 00.051 114.042 06.025
000000000188 220.915 -00.537 0.535 000003 00.330 02.758 00.937
000000000177 223.215 -00.368 0.578 000003 00.157 12.160 01.967
000000000179 321.717 -00.369 0.473 000003 00.163 11.227 01.890
000000000181 225.811 +00.148 0.458 000003 00.211 06.755 01.466
000000000182 227.830 -00.131 0.512 000003 00.356 02.367 00.868
000000000183 226.258 +00.550 0.508 000003 00.237 05.345 01.304
000000000184 322.371 +00.192 0.489 000003 00.278 03.894 01.113
000000000378 186.213 -00.657 0.553 000003 00.270 04.130 01.147
000000000172 204.902 +00.392 0.515 000003 00.251 04.761 01.231
000000000190 218.916 -00.951 0.495 000003 00.755 00.526 00.409
000000000192 349.395 +00.303 0.525 000003 00.182 09.030 01.695
000000000194 204.599 -00.728 0.389 000003 00.068 65.354 04.561
000000000195 228.442 -00.782 0.541 000003 00.253 04.699 01.223
000000000199 220.327 -00.674 0.558 000003 00.157 12.160 01.967
000000000201 202.749 -00.495 0.476 000003 00.312 03.082 00.991
000000000173 222.131 +00.445 0.440 000003 00.119 21.239 02.600
000000000171 206.638 -00.287 0.554 000003 00.338 02.628 00.915
000000000262 223.563 -00.145 0.581 000003 00.207 06.988 01.491
000000000156 204.779 -00.842 0.438 000003 00.091 36.175 03.393
000000000146 205.887 -00.306 0.706 000003 00.089 38.053 03.480
000000000148 199.623 +00.103 0.639 000003 00.090 37.129 03.438
000000000149 205.899 -00.901 0.550 000003 00.238 05.307 01.300
000000000150 226.768 +00.800 0.505 000003 00.230 05.671 01.344
000000000151 320.809 -00.304 0.509 000003 00.421 01.692 00.734
000000000155 313.977 +00.496 0.716 000003 00.061 79.760 05.039
000000000157 348.579 -00.061 0.488 000003 00.175 09.844 01.770
000000000170 321.028 -00.078 0.531 000003 00.155 12.520 01.996
000000000158 220.372 -00.900 0.537 000003 00.376 02.123 00.822
000000000159 199.809 +00.447 0.515 000003 00.241 05.178 01.284
000000000161 325.794 -01.019 0.552 000003 00.212 06.691 01.459
000000000163 322.838 +00.355 0.501 000003 00.157 12.186 01.969
000000000164 348.899 -00.148 0.570 000003 00.215 06.504 01.439
000000000167 205.102 -00.594 0.444 000003 00.269 04.148 01.149
000000000202 207.156 +00.048 0.507 000003 00.152 13.025 02.036
000000000203 212.928 -00.718 0.651 000003 00.117 21.964 02.644
000000000204 204.398 +00.066 0.476 000003 00.336 02.661 00.920
000000000247 324.755 -01.139 0.496 000003 00.259 04.473 01.193
000000000237 225.251 -00.412 0.470 000003 00.208 06.926 01.485
000000000239 343.640 -00.630 0.644 000003 00.084 42.544 03.680
000000000242 226.381 +00.264 0.623 000003 00.108 25.829 02.867
000000000243 212.619 +00.243 0.498 000003 00.322 02.897 00.960
000000000244 199.682 +00.121 0.505 000003 00.277 03.916 01.117
000000000245 350.558 -00.776 0.428 000003 00.106 26.668 02.914
000000000251 343.688 -00.949 0.530 000003 00.193 08.024 01.598
000000000205 211.093 -00.020 0.444 000003 00.163 11.315 01.898
000000000253 213.524 -00.540 0.645 000003 00.324 02.855 00.953
000000000254 328.106 -00.759 0.499 000003 00.197 07.768 01.572
000000000255 201.142 -00.216 0.656 000003 00.096 32.809 03.232
000000000256 321.789 -01.050 0.593 000003 00.424 01.668 00.729
000000000258 186.108 -00.386 0.491 000003 00.234 05.481 01.321
000000000261 204.420 -00.728 0.528 000003 00.354 02.392 00.873
000000000236 327.862 +00.241 0.460 000003 00.170 10.407 01.820
000000000235 186.965 -00.001 0.599 000003 00.302 03.290 01.023
000000000233 226.669 +00.133 0.501 000003 00.334 02.692 00.926
000000000232 223.802 -00.240 0.649 000003 00.089 38.092 03.482
000000000231 321.488 -00.159 0.527 000003 00.200 07.508 01.546
000000000229 225.861 +00.361 0.540 000003 00.398 01.892 00.776
000000000227 210.385 -00.666 0.578 000003 00.306 03.209 01.011
000000000222 342.512 -00.270 0.504 000003 00.164 11.123 01.882
000000000221 204.199 -00.352 0.525 000003 00.497 01.215 00.622
000000000217 202.986 -00.462 0.547 000003 00.147 13.871 02.101
000000000216 323.816 +00.238 0.612 000003 00.104 27.576 02.963
000000000215 347.834 -00.466 0.579 000003 00.220 06.185 01.403
000000000214 226.724 -00.871 0.677 000003 00.103 28.229 02.998
000000000211 204.847 -00.499 0.433 000003 00.171 10.201 01.802
000000000209 220.907 -00.972 0.561 000003 00.216 06.424 01.430
000000000207 224.324 -00.669 0.577 000003 00.243 05.098 01.274
000000000206 219.538 -00.441 0.324 000003 00.064 74.166 04.859
000000000000 141.250 -00.852 0.437 000003 00.340 02.599 00.910
