#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000166 166.524 +00.413 0.561 000004 00.152 23.225 02.719
000000000361 322.301 -00.075 0.506 000004 00.251 08.464 01.641
000000000246 205.617 +00.371 0.445 000004 00.098 54.983 04.183
000000000374 190.556 +00.383 0.522 000004 00.348 04.401 01.184
000000000363 199.641 -00.816 0.509 000004 00.216 11.448 01.909
000000000090 033.344 +00.074 0.520 000004 00.192 14.515 02.149
000000000560 321.035 -00.612 0.597 000004 00.219 11.137 01.883
000000000088 150.960 -00.115 0.483 000004 00.193 14.257 02.130
000000000263 203.957 -00.016 0.452 000004 00.158 21.426 02.612
000000000369 212.614 +00.237 0.507 000004 00.269 07.367 01.531
000000000261 326.097 -00.326 0.455 000004 00.106 47.611 03.893
000000000158 151.013 -00.420 0.562 000004 00.193 14.321 02.135
000000000362 322.376 +00.187 0.506 000004 00.276 06.986 01.491
000000000065 015.133 +00.234 0.508 000004 00.284 06.611 01.451
000000000610 326.704 -00.477 0.650 000004 00.074 98.377 05.596
000000000081 162.601 -00.795 0.503 000004 00.504 02.102 00.818
000000000067 150.568 +00.183 0.505 000004 00.183 15.849 02.246
000000000165 167.497 +00.788 0.553 000004 00.178 16.783 02.311
000000000392 199.872 -00.028 0.522 000004 00.174 17.598 02.367
000000000391 227.864 -00.127 0.519 000004 00.189 14.925 02.180
000000000249 187.826 -00.643 0.441 000004 00.096 57.883 04.292
000000000163 009.514 +00.464 0.567 000004 00.141 26.909 02.927
000000000071 150.516 -00.108 0.515 000004 00.421 03.011 00.979
000000000567 205.385 -00.688 0.612 000004 00.274 07.118 01.505
000000000566 350.925 +00.145 0.592 000004 00.124 34.674 03.322
000000000565 320.816 -00.268 0.583 000004 00.118 38.111 03.483
000000000076 139.432 +00.295 0.504 000004 00.191 14.689 02.162
000000000564 199.679 +00.115 0.605 000004 00.121 36.563 03.411
000000000527 205.847 +00.310 0.589 000004 00.278 06.877 01.480
000000000161 162.745 -00.403 0.568 000004 00.159 21.018 02.587
000000000378 203.831 +00.350 0.517 000004 00.218 11.266 01.894
000000000082 164.028 -00.317 0.504 000004 00.175 17.399 02.353
000000000199 034.670 -00.189 0.577 000004 00.132 30.715 03.127
000000000152 152.286 -00.397 0.554 000004 00.171 18.147 02.403
000000000325 321.492 -00.169 0.493 000004 00.309 05.593 01.334
000000000321 190.500 +00.539 0.499 000004 00.218 11.176 01.886
000000000540 219.640 -00.456 0.571 000004 00.142 26.529 02.906
000000000547 205.466 -00.522 0.601 000004 00.111 43.201 03.708
000000000119 150.475 -00.844 0.544 000004 00.133 30.143 03.098
000000000288 221.329 +00.098 0.471 000004 00.184 15.718 02.237
000000000316 208.006 -00.371 0.489 000004 00.423 02.976 00.973
000000000289 200.820 -00.240 0.470 000004 00.258 07.984 01.594
000000000122 010.354 -00.921 0.530 000004 00.181 16.314 02.279
000000000123 166.326 -00.970 0.540 000004 00.219 11.098 01.879
000000000312 347.024 -00.493 0.500 000004 00.216 11.382 01.903
000000000311 344.857 -00.001 0.470 000004 00.223 10.770 01.852
000000000291 202.267 -00.091 0.480 000004 00.183 15.947 02.253
000000000138 034.968 +00.368 0.543 000004 00.222 10.853 01.859
000000000137 162.527 +00.009 0.551 000004 00.222 10.778 01.852
000000000136 150.670 +00.206 0.558 000004 00.421 03.004 00.978
000000000297 185.830 -00.755 0.490 000004 00.187 15.195 02.199
000000000132 037.842 -00.167 0.546 000004 00.197 13.792 02.095
000000000285 186.337 -00.178 0.464 000004 00.129 31.886 03.186
000000000549 205.645 +00.169 0.584 000004 00.125 34.386 03.308
000000000351 321.487 -00.533 0.497 000004 00.410 03.168 01.004
000000000327 190.438 +00.329 0.494 000004 00.318 05.258 01.294
000000000401 199.211 +00.268 0.520 000004 00.391 03.489 01.054
000000000555 206.287 +00.666 0.569 000004 00.136 28.636 03.019
000000000347 205.421 +00.300 0.499 000004 00.429 02.895 00.960
000000000346 228.382 -00.576 0.504 000004 00.185 15.668 02.233
000000000149 010.663 -00.663 0.547 000004 00.207 12.459 01.991
000000000597 218.027 -00.780 0.615 000004 00.107 46.789 03.859
