#C_ID        C_NGAL G_ID         G_RA    G_DEC  G_Z
000000000360 000006 000000007853 210.183 +00.157 0.559
000000000360 000006 000000009797 210.169 +00.119 0.528
000000000360 000006 000000010287 210.186 +00.207 0.597
000000000360 000006 000000010902 210.185 +00.206 0.536
000000000287 000006 000000000525 199.566 +00.118 0.491
000000000287 000006 000000006796 199.581 +00.105 0.466
000000000287 000006 000000007886 199.513 +00.020 0.448
000000000287 000006 000000009731 199.556 +00.103 0.528
000000000287 000006 000000010081 199.540 +00.092 0.468
000000000287 000006 000000010506 199.561 +00.086 0.504
000000000290 000006 000000000962 227.666 +00.027 0.477
000000000290 000006 000000003179 227.632 +00.011 0.481
000000000290 000006 000000004464 227.709 +00.075 0.491
000000000290 000006 000000009294 227.708 +00.074 0.473
000000000290 000006 000000011892 227.624 +00.024 0.442
000000000290 000006 000000011981 227.697 +00.060 0.465
000000000002 000006 000000004301 185.449 +00.292 0.426
000000000002 000006 000000004883 185.294 +00.162 0.455
000000000002 000006 000000005642 185.008 +00.283 0.437
000000000002 000006 000000008278 185.033 +00.193 0.414
000000000002 000006 000000009749 185.308 +00.334 0.441
000000000002 000006 000000012117 185.290 +00.227 0.450
000000000517 000006 000000003490 206.945 -00.049 0.592
000000000517 000006 000000003686 206.932 -00.069 0.609
000000000517 000006 000000004622 206.923 +00.009 0.573
000000000517 000006 000000004700 206.979 -00.069 0.567
000000000517 000006 000000005320 206.962 +00.047 0.555
000000000517 000006 000000007336 206.872 +00.032 0.618
000000000182 000006 000000001049 161.865 -00.378 0.592
000000000182 000006 000000002764 161.963 -00.381 0.610
000000000182 000006 000000007539 161.846 -00.352 0.652
000000000182 000006 000000010547 161.849 -00.418 0.596
000000000182 000006 000000011137 161.925 -00.400 0.568
000000000182 000006 000000012105 161.899 -00.391 0.633
000000000345 000006 000000001410 204.198 -00.352 0.561
000000000345 000006 000000001794 204.199 -00.378 0.543
000000000345 000006 000000002354 204.212 -00.362 0.487
000000000345 000006 000000006364 204.234 -00.385 0.495
000000000345 000006 000000011122 204.199 -00.348 0.504
000000000345 000006 000000011336 204.225 -00.350 0.537
000000000510 000006 000000000423 211.846 -00.197 0.573
