#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000367 322.178 -00.808 0.606 000003 00.139 15.491 02.221
000000000368 211.500 -00.772 0.561 000003 00.352 02.419 00.877
000000000369 191.637 -00.279 0.486 000003 00.366 02.236 00.844
000000000371 202.445 +00.299 0.505 000003 00.291 03.539 01.061
000000000376 219.756 -00.528 0.543 000003 00.484 01.280 00.638
000000000360 209.893 +00.077 0.533 000003 00.280 03.839 01.105
000000000379 205.492 -00.482 0.416 000003 00.132 17.179 02.338
000000000380 203.086 -00.105 0.471 000003 00.249 04.837 01.241
000000000381 222.052 +00.228 0.443 000003 00.366 02.238 00.844
000000000382 321.481 -00.638 0.747 000003 00.043 161.812 07.177
000000000383 350.649 +00.398 0.481 000003 00.200 07.515 01.547
000000000384 203.676 +00.189 0.521 000003 00.185 08.747 01.669
000000000361 202.372 +00.007 0.491 000003 00.309 03.152 01.002
000000000355 185.710 +00.146 0.458 000003 00.192 08.130 01.609
000000000337 323.304 -00.183 0.462 000003 00.169 10.540 01.832
000000000344 325.299 -00.623 0.584 000003 00.257 04.527 01.200
000000000338 203.994 +00.574 0.670 000003 00.105 27.109 02.938
000000000339 218.124 +00.030 0.547 000003 00.934 00.344 00.331
000000000340 204.599 +00.262 0.461 000003 00.143 14.689 02.162
000000000341 187.269 +00.631 0.578 000003 00.340 02.593 00.909
000000000342 201.932 -00.774 0.576 000003 00.232 05.557 01.330
000000000343 351.878 +00.002 0.418 000003 00.298 03.384 01.038
000000000345 205.793 +00.047 0.531 000003 00.179 09.338 01.724
000000000354 225.467 -00.802 0.657 000003 00.108 25.922 02.872
000000000346 199.206 +00.271 0.503 000003 00.325 02.844 00.952
000000000348 351.301 -00.411 0.496 000003 00.257 04.525 01.200
000000000349 225.022 +00.492 0.446 000003 00.139 15.536 02.224
000000000350 206.291 -00.739 0.497 000003 00.327 02.810 00.946
000000000352 210.808 -00.337 0.435 000003 00.156 12.260 01.975
000000000353 352.396 +00.267 0.441 000003 00.140 15.390 02.213
000000000271 204.225 -00.362 0.472 000003 00.317 02.992 00.976
000000000270 185.922 -00.693 0.496 000003 00.725 00.570 00.426
000000000269 204.009 +00.398 0.329 000003 00.051 114.046 06.025
000000000191 220.915 -00.537 0.535 000003 00.330 02.757 00.937
000000000180 223.215 -00.368 0.578 000003 00.157 12.162 01.968
000000000182 321.717 -00.369 0.473 000003 00.163 11.223 01.890
000000000184 225.811 +00.148 0.458 000003 00.211 06.755 01.466
000000000185 227.830 -00.131 0.512 000003 00.356 02.367 00.868
000000000186 226.258 +00.550 0.508 000003 00.237 05.345 01.304
000000000187 322.372 +00.192 0.489 000003 00.278 03.896 01.114
000000000385 186.213 -00.657 0.553 000003 00.270 04.130 01.147
000000000174 204.902 +00.392 0.515 000003 00.251 04.760 01.231
000000000193 218.916 -00.951 0.495 000003 00.755 00.526 00.409
000000000195 349.395 +00.303 0.525 000003 00.182 09.031 01.695
000000000197 204.599 -00.728 0.389 000003 00.068 65.355 04.561
000000000198 228.442 -00.782 0.541 000003 00.253 04.699 01.223
000000000203 220.327 -00.674 0.558 000003 00.157 12.159 01.967
000000000205 202.749 -00.495 0.476 000003 00.312 03.082 00.990
000000000175 222.131 +00.445 0.441 000003 00.119 21.242 02.600
000000000173 206.638 -00.287 0.554 000003 00.338 02.626 00.914
000000000268 223.563 -00.145 0.581 000003 00.207 06.987 01.491
000000000158 204.779 -00.842 0.438 000003 00.091 36.173 03.393
000000000147 205.887 -00.306 0.706 000003 00.089 38.050 03.480
000000000150 199.623 +00.103 0.639 000003 00.090 37.130 03.438
000000000151 205.899 -00.901 0.550 000003 00.238 05.307 01.300
